################################################################################
# Energy vs. volume comparison.
################################################################################
# Col  Name        Description
################################################################################
# 1    V_atom      Volume per atom.
# 2    Eref_atom   Reference energy per atom.
# 3    N           Number of atoms.
# 4    V           Volume of structure.
# 5    Eref        Reference energy of structure.
# 6    Eref_offset Reference energy of structure (including offset).
###############################################################################################
#              1                2          3                4                5                6
#         V_atom        Eref_atom          N                V             Eref      Eref_offset
###############################################################################################
  9.45013157E+00  -1.29513310E+01        168   1.58762210E+03  -2.17582361E+03  -3.27554236E+04
  9.45013157E+00  -7.91443466E+00        168   1.58762210E+03  -1.32962502E+03  -3.19092250E+04
  9.45013157E+00  -6.08820265E+00        168   1.58762210E+03  -1.02281805E+03  -3.16024180E+04
  9.45013157E+00  -5.79657999E+00        168   1.58762210E+03  -9.73825438E+02  -3.15534254E+04
  9.45013157E+00  -6.61599898E+00        168   1.58762210E+03  -1.11148783E+03  -3.16910878E+04
  9.45013157E+00  -5.17110710E+00        168   1.58762210E+03  -8.68745993E+02  -3.14483460E+04
  9.45013157E+00  -3.73671351E+00        168   1.58762210E+03  -6.27767870E+02  -3.12073679E+04
  9.45013157E+00  -1.77530174E+00        168   1.58762210E+03  -2.98250693E+02  -3.08778507E+04
  9.45013157E+00  -1.85786194E+00        168   1.58762210E+03  -3.12120806E+02  -3.08917208E+04
  9.45013157E+00  -3.20092334E+00        168   1.58762210E+03  -5.37755121E+02  -3.11173551E+04
  9.45013157E+00  -3.16879533E+00        168   1.58762210E+03  -5.32357615E+02  -3.11119576E+04
  9.45013157E+00  -8.74058271E-01        168   1.58762210E+03  -1.46841789E+02  -3.07264418E+04
  9.45013157E+00  -1.01262006E+00        168   1.58762210E+03  -1.70120169E+02  -3.07497202E+04
  9.45013157E+00  -1.14406031E+00        168   1.58762210E+03  -1.92202133E+02  -3.07718021E+04
  9.45013157E+00  -1.23941617E+00        168   1.58762210E+03  -2.08221916E+02  -3.07878219E+04
  9.45013157E+00  -1.80244333E+00        168   1.58762210E+03  -3.02810479E+02  -3.08824105E+04
  9.45013157E+00   8.26300717E-01        168   1.58762210E+03   1.38818521E+02  -3.04407815E+04
  9.45013157E+00   8.36831826E-01        168   1.58762210E+03   1.40587747E+02  -3.04390123E+04
  9.45013157E+00  -4.74391733E-02        168   1.58762210E+03  -7.96978111E+00  -3.05875698E+04
  9.45013157E+00   8.34242842E-01        168   1.58762210E+03   1.40152798E+02  -3.04394472E+04
  9.45013157E+00   1.78844207E-01        168   1.58762210E+03   3.00458268E+01  -3.05495542E+04
  9.45013157E+00  -3.15111449E-01        168   1.58762210E+03  -5.29387235E+01  -3.06325387E+04
  9.45013157E+00   1.99715836E-01        168   1.58762210E+03   3.35522604E+01  -3.05460477E+04
  9.45013157E+00  -1.51677032E+00        168   1.58762210E+03  -2.54817414E+02  -3.08344174E+04
  9.45013157E+00  -7.05747165E-02        168   1.58762210E+03  -1.18565524E+01  -3.05914566E+04
  9.45013157E+00  -7.38002499E-01        168   1.58762210E+03  -1.23984420E+02  -3.07035844E+04
  9.45013157E+00  -2.02387197E+00        168   1.58762210E+03  -3.40010491E+02  -3.09196105E+04
  9.45013157E+00   4.84367062E-01        168   1.58762210E+03   8.13736664E+01  -3.04982263E+04
  9.45013157E+00  -4.01759235E-01        168   1.58762210E+03  -6.74955515E+01  -3.06470956E+04
  9.45013157E+00  -1.09206343E+00        168   1.58762210E+03  -1.83466656E+02  -3.07630667E+04
  9.45013157E+00  -6.10235259E-01        168   1.58762210E+03  -1.02519523E+02  -3.06821195E+04
  9.45013157E+00  -1.79911487E+00        168   1.58762210E+03  -3.02251298E+02  -3.08818513E+04
  9.45013157E+00  -5.71973371E-02        168   1.58762210E+03  -9.60915263E+00  -3.05892092E+04
  9.45013157E+00  -1.51102984E-01        168   1.58762210E+03  -2.53853013E+01  -3.06049853E+04
  9.45013157E+00  -5.07702899E-01        168   1.58762210E+03  -8.52940870E+01  -3.06648941E+04
  9.45013157E+00  -6.73777061E-01        168   1.58762210E+03  -1.13194546E+02  -3.06927945E+04
  9.45013157E+00  -2.19592025E+00        168   1.58762210E+03  -3.68914602E+02  -3.09485146E+04
  9.45013157E+00  -1.11287686E+00        168   1.58762210E+03  -1.86963313E+02  -3.07665633E+04
  9.45013157E+00  -1.95261521E-01        168   1.58762210E+03  -3.28039356E+01  -3.06124039E+04
  9.45013157E+00  -1.10080697E+00        168   1.58762210E+03  -1.84935571E+02  -3.07645356E+04
  9.45013157E+00   2.13954902E-01        168   1.58762210E+03   3.59444236E+01  -3.05436556E+04
  9.45013157E+00  -1.52548562E+00        168   1.58762210E+03  -2.56281584E+02  -3.08358816E+04
  9.45013157E+00  -1.27379211E-01        168   1.58762210E+03  -2.13997075E+01  -3.06009997E+04
  9.45013157E+00  -3.41608270E-01        168   1.58762210E+03  -5.73901894E+01  -3.06369902E+04
  9.45013157E+00  -1.64381638E+00        168   1.58762210E+03  -2.76161151E+02  -3.08557612E+04
  9.45013157E+00  -2.06741111E+00        168   1.58762210E+03  -3.47325066E+02  -3.09269251E+04
  9.45013157E+00  -2.34105350E+00        168   1.58762210E+03  -3.93296987E+02  -3.09728970E+04
  9.45013157E+00  -3.54757736E+00        168   1.58762210E+03  -5.95992997E+02  -3.11755930E+04
  9.45013157E+00  -2.26291293E+00        168   1.58762210E+03  -3.80169373E+02  -3.09597694E+04
  9.45013157E+00  -2.22402461E+00        168   1.58762210E+03  -3.73636134E+02  -3.09532361E+04
  9.45013157E+00  -2.69481946E+00        168   1.58762210E+03  -4.52729670E+02  -3.10323297E+04
  9.45013157E+00  -2.80862629E+00        168   1.58762210E+03  -4.71849217E+02  -3.10514492E+04
  9.45013157E+00  -1.98214430E+00        168   1.58762210E+03  -3.33000242E+02  -3.09126002E+04
  9.45013157E+00  -3.02259817E+00        168   1.58762210E+03  -5.07796493E+02  -3.10873965E+04
  9.45013157E+00  -1.30789229E+00        168   1.58762210E+03  -2.19725904E+02  -3.07993259E+04
  9.45013157E+00  -2.01568277E+00        168   1.58762210E+03  -3.38634705E+02  -3.09182347E+04
  9.45013157E+00  -1.91625664E+00        168   1.58762210E+03  -3.21931116E+02  -3.09015311E+04
  9.45013157E+00  -1.97667338E+00        168   1.58762210E+03  -3.32081127E+02  -3.09116811E+04
  9.45013157E+00  -3.39990151E+00        168   1.58762210E+03  -5.71183454E+02  -3.11507835E+04
  9.45013157E+00  -2.68688855E+00        168   1.58762210E+03  -4.51397276E+02  -3.10309973E+04
  9.45013157E+00  -2.55309574E+00        168   1.58762210E+03  -4.28920084E+02  -3.10085201E+04
  9.45013157E+00  -1.37254959E+00        168   1.58762210E+03  -2.30588332E+02  -3.08101883E+04
  9.45013157E+00  -2.27390733E+00        168   1.58762210E+03  -3.82016431E+02  -3.09616164E+04
  9.45013157E+00  -1.13922745E+00        168   1.58762210E+03  -1.91390212E+02  -3.07709902E+04
  9.45013157E+00  -2.72389215E+00        168   1.58762210E+03  -4.57613881E+02  -3.10372139E+04
  9.45013157E+00  -3.98202458E+00        168   1.58762210E+03  -6.68980130E+02  -3.12485801E+04
  9.45013157E+00  -4.11052960E+00        168   1.58762210E+03  -6.90568974E+02  -3.12701690E+04
  9.45013157E+00  -4.33104465E+00        168   1.58762210E+03  -7.27615502E+02  -3.13072155E+04
  9.45013157E+00  -2.98372598E+00        168   1.58762210E+03  -5.01265964E+02  -3.10808660E+04
  9.45013157E+00  -4.39522962E+00        168   1.58762210E+03  -7.38398577E+02  -3.13179986E+04
  9.45013157E+00  -4.74106049E+00        168   1.58762210E+03  -7.96498163E+02  -3.13760982E+04
  9.45013157E+00  -4.06693975E+00        168   1.58762210E+03  -6.83245877E+02  -3.12628459E+04
  9.45013157E+00  -4.01137962E+00        168   1.58762210E+03  -6.73911775E+02  -3.12535118E+04
  9.45013157E+00  -4.11877951E+00        168   1.58762210E+03  -6.91954958E+02  -3.12715550E+04
  9.45013157E+00  -5.06220449E+00        168   1.58762210E+03  -8.50450353E+02  -3.14300504E+04
  9.45013157E+00  -3.53484206E+00        168   1.58762210E+03  -5.93853465E+02  -3.11734535E+04
  9.45013157E+00  -3.50880253E+00        168   1.58762210E+03  -5.89478825E+02  -3.11690788E+04
  9.45013157E+00  -3.19484521E+00        168   1.58762210E+03  -5.36733995E+02  -3.11163340E+04
  9.45013157E+00  -1.99465517E+00        168   1.58762210E+03  -3.35102068E+02  -3.09147021E+04
  9.45013157E+00  -3.15165226E+00        168   1.58762210E+03  -5.29477580E+02  -3.11090776E+04
  9.45013157E+00  -3.01280453E+00        168   1.58762210E+03  -5.06151162E+02  -3.10857512E+04
  9.45013157E+00  -3.49585895E+00        168   1.58762210E+03  -5.87304303E+02  -3.11669043E+04
  9.45013157E+00  -4.45396144E+00        168   1.58762210E+03  -7.48265522E+02  -3.13278655E+04
  9.45013157E+00  -4.22481343E+00        168   1.58762210E+03  -7.09768657E+02  -3.12893687E+04
  9.45013157E+00  -4.72058229E+00        168   1.58762210E+03  -7.93057824E+02  -3.13726578E+04
  9.45013157E+00  -3.67054788E+00        168   1.58762210E+03  -6.16652044E+02  -3.11962520E+04
  9.45013157E+00  -4.12931588E+00        168   1.58762210E+03  -6.93725068E+02  -3.12733251E+04
  9.45013157E+00  -4.76914562E+00        168   1.58762210E+03  -8.01216465E+02  -3.13808165E+04
  9.45013157E+00  -4.06367083E+00        168   1.58762210E+03  -6.82696700E+02  -3.12622967E+04
  9.45013157E+00  -2.94548636E+00        168   1.58762210E+03  -4.94841709E+02  -3.10744417E+04
  9.45013157E+00  -3.51090352E+00        168   1.58762210E+03  -5.89831791E+02  -3.11694318E+04
  9.45013157E+00  -3.87624486E+00        168   1.58762210E+03  -6.51209137E+02  -3.12308091E+04
