################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         1          1      19806  -5.21996304E-01   4.78003696E-01   5.90700758E-16   1.25906831E-01
         1          2      19806  -5.22949991E-01   4.77050009E-01  -1.54828353E-15   1.25846730E-01
         1          3      19806  -5.14432994E-01   4.85567006E-01  -1.78803868E-15   1.26340594E-01
         1          4      19806  -5.23779654E-01   4.76220346E-01   6.18761272E-15   1.25706706E-01
         1          5      19806  -5.00693512E-01   4.99306488E-01   8.40699933E-16   1.27090134E-01
         1          6      19806  -5.25669333E-01   4.74330667E-01   2.10987779E-15   1.25461376E-01
         1          7      19806  -4.83358286E-01   5.16641714E-01  -5.86018493E-15   1.28697397E-01
         1          8      19806  -5.28614269E-01   4.71385731E-01   1.44809944E-15   1.25239266E-01
         1          9      19806  -4.65315160E-01   5.34684840E-01  -7.92627265E-16   1.31600714E-01
         1         10      19806  -5.32724131E-01   4.67275869E-01   4.81615712E-15   1.25158178E-01
         1         11      19806  -4.88712621E-01   5.11287379E-01   2.14489808E-15   1.27608834E-01
         1         12      19806  -5.88380588E-01   4.11619412E-01  -1.06601814E-15   1.26582653E-01
         1         13      19806  -4.62116096E-01   5.37883904E-01   1.73867955E-15   1.30672692E-01
         1         14      19806  -6.30371280E-01   3.69628720E-01  -7.28298681E-16   1.29083033E-01
         1         15      19806  -4.33378611E-01   5.66621389E-01   8.27305619E-16   1.35991869E-01
         1         16      19806  -6.24499946E-01   3.75500054E-01   6.09197188E-15   1.34311698E-01
         1         17      19806  -4.23741505E-01   5.76258495E-01  -1.28737608E-15   1.41161296E-01
         1         18      19806  -5.69780427E-01   4.30219573E-01  -3.63011426E-16   1.40145972E-01
         1         19      19806  -2.25618273E-01   7.74381727E-01  -6.70724710E-16   1.14055583E-01
         1         20      19806  -3.62373084E-01   6.37626916E-01   2.42445920E-15   1.32266952E-01
         1         21      19806  -1.94727755E-01   8.05272245E-01  -1.19698197E-16   1.07869308E-01
         1         22      19806  -3.74336308E-01   6.25663692E-01   1.41737576E-15   1.34220536E-01
         1         23      19806  -2.14146371E-01   7.85853629E-01   3.26198783E-16   1.11420936E-01
         1         24      19806  -3.61344198E-01   6.38655802E-01   1.27226368E-16   1.33152132E-01
         1         25      19806  -1.83272012E-01   8.16727988E-01  -4.36778252E-16   1.04658815E-01
         1         26      19806  -3.73749534E-01   6.26250466E-01   1.33665953E-15   1.35092553E-01
         1         27      19806  -2.58041586E-01   7.41958414E-01  -4.10673492E-15   1.21977250E-01
         1         28      19806  -2.58041586E-01   7.41958414E-01  -4.10673492E-15   1.21977250E-01
         1         29      19806  -3.31238467E-01   6.68761533E-01   2.12430071E-15   1.28174482E-01
         1         30      19806  -3.31238467E-01   6.68761533E-01   2.12430071E-15   1.28174482E-01
         1         31      19806  -2.21366799E-01   7.78633201E-01   1.48910919E-15   1.12301908E-01
         1         32      19806  -3.46095305E-01   6.53904695E-01  -4.14932262E-16   1.32408648E-01
         1         33      19806  -1.90912532E-01   8.09087468E-01   6.78039872E-17   1.05819366E-01
         1         34      19806  -3.59824099E-01   6.40175901E-01  -1.21101531E-15   1.35886117E-01
         1         35      19806  -2.22885348E-01   7.77114652E-01  -1.24005174E-15   1.12426146E-01
         1         36      19806  -3.25090399E-01   6.74909601E-01   2.56054925E-15   1.33201784E-01
         1         37      19806  -1.79766741E-01   8.20233259E-01  -9.36971393E-17   1.02258801E-01
         1         38      19806  -3.44323494E-01   6.55676506E-01   2.99454998E-16   1.40318118E-01
         1         39      19806  -1.53923098E-01   8.46076902E-01   3.84790851E-16   8.93380576E-02
         1         40      19806  -2.91171461E-01   7.08828539E-01  -7.48849102E-16   1.29473179E-01
         1         41      19806  -9.52116575E-02   9.04788342E-01  -4.36749524E-16   7.35233977E-02
         1         42      19806  -2.95773334E-01   7.04226666E-01  -1.93802963E-15   1.29744348E-01
         1         43      19806  -2.43283248E-01   5.58958648E-01   4.63620133E-16   1.07469142E-01
         1         44      19806  -3.59823284E-01   2.98106109E-01  -1.29490425E-15   8.68959923E-02
         1         45      19806  -3.73044337E-01   3.68382585E-01   1.59378889E-15   1.04404754E-01
         1         46      19806  -8.77163611E-01   5.34159290E-01  -2.47223057E-15   1.96064349E-01
         1         47      19806  -3.05455712E-01   5.56432282E-01  -4.75010485E-15   1.02860450E-01
         1         48      19806  -5.51103830E-01   8.44048630E-01  -4.92251005E-15   1.77403671E-01
         1         49      19806  -6.92704439E-01   3.91977371E-01  -6.54878274E-15   1.44754622E-01
         1         50      19806  -2.11861983E-01   1.55896459E-01   3.07180762E-16   4.61667992E-02
         1         51      19806  -1.60828005E-01   3.66895742E-01   9.84710535E-16   5.96358440E-02
         1         52      19806  -4.82402433E-01   6.54057660E-01  -2.69977837E-15   1.22896803E-01
         1         53      19806  -1.85955910E-01   5.18806125E-01  -1.09745232E-15   8.44805683E-02
         1         54      19806  -2.02937403E-01   1.98552653E-01  -6.46709396E-16   6.14971621E-02
         1         55      19806  -2.74764880E-01   5.63085192E-01  -3.44959932E-15   1.05999828E-01
         1         56      19806  -3.46028617E-01   7.52195458E-01   1.85543066E-16   1.32918795E-01
         1         57      19806  -2.85086153E-01   2.65592622E-01   4.03679525E-15   7.20003444E-02
         1         58      19806  -7.77047248E-01   7.91574347E-01   1.75224203E-15   1.96764786E-01
         1         59      19806  -1.23492231E+00   6.89549963E-01   6.99340728E-17   2.59053026E-01
         1         60      19806  -4.49736330E-01   6.98842876E-01   2.47250384E-15   1.52728971E-01
         1         61      19806  -2.64004128E-01   6.22067982E-01  -1.85293061E-15   1.10636279E-01
         1         62      19806  -3.97633874E-01   5.39567721E-01   1.84322471E-15   1.15152491E-01
         1         63      19806  -3.95302312E-01   2.73105283E-01  -1.37854234E-15   8.45976441E-02
         1         64      19806  -2.37265014E-01   2.48115041E-01  -1.38661126E-16   6.74519240E-02
         1         65      19806  -8.58207829E-01   1.58520237E-01   2.29716066E-15   8.49949107E-02
         1         66      19806  -3.99011807E-01   3.45399768E-01   7.73284126E-16   1.00183698E-01
         1         67      19806  -4.99452085E-01   4.04221089E-01  -2.07753412E-16   1.19078412E-01
         1         68      19806  -1.38706366E+00   7.77465058E-01  -2.86916922E-15   2.76996304E-01
         1         69      19806  -1.04053941E+00   4.83598332E-01  -2.52361889E-16   2.01611296E-01
         1         70      19806  -3.76721443E-01   3.62399786E-01   2.81455705E-15   8.75490456E-02
         1         71      19806  -3.45353755E-01   2.34577186E-01   1.73757176E-15   7.73455375E-02
         1         72      19806  -9.29565826E-01   9.18559731E-01   1.46824557E-16   2.19942263E-01
         1         73      19806  -5.03079637E-01   4.95948402E-01   1.36832774E-16   1.16629283E-01
         1         74      19806  -2.25235621E-01   2.53460532E-01   2.42232911E-15   6.50216886E-02
         1         75      19806  -2.23102556E-01   1.04537937E-01   3.47546987E-15   3.30657001E-02
         1         76      19806  -3.89293263E-01   1.56909509E-01   1.22061086E-15   3.95185515E-02
         1         77      19806  -9.01481046E-01   8.10171146E-01   2.60381100E-15   2.23125098E-01
         1         78      19806  -2.29876732E-01   5.36976299E-01  -6.62271914E-15   7.68818305E-02
         1         79      19806  -1.14993435E+00   7.85422057E-01  -5.04366147E-15   2.50215404E-01
         1         80      19806  -1.41847753E-01   1.80278701E-01  -3.44063649E-16   3.68965350E-02
