################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   5.0463653591240796E+00   1.5710568085306104E+01   1.0613039763929477E+01   1.3426959676415451E+00
         1          2   5.0658448346527267E+00   1.5777549706198887E+01   1.0667530802341911E+01   1.3480330303229764E+00
         1          3   4.8100092291049723E+00   1.4972396265565239E+01   1.0037876417439270E+01   1.2839220164680509E+00
         1          4   4.9953054166888817E+00   1.5616539030371985E+01   1.0558491484895367E+01   1.3351602869811054E+00
         1          5   4.3118401524400847E+00   1.3495584321825763E+01   8.9100812784261727E+00   1.1671632757526726E+00
         1          6   4.8449958165872324E+00   1.5272101682837354E+01   1.0326205603815065E+01   1.3081990487614477E+00
         1          7   3.7013469343430252E+00   1.1635382471960328E+01   7.5363287500628857E+00   1.0210897189935408E+00
         1          8   4.6351235688468524E+00   1.4787688093755010E+01   1.0001914043673466E+01   1.2714997303399536E+00
         1          9   3.0807912955464505E+00   9.6682824967647321E+00   6.1460508154863893E+00   8.6691854751709307E-01
         1         10   4.3815928997548905E+00   1.4195988955849760E+01   9.6099585062102424E+00   1.2283519244686640E+00
         1         11   4.4891858888980378E+00   1.4511356201290312E+01   9.3871470149780016E+00   1.2789174658584288E+00
         1         12   3.0984726893333683E+00   1.0120391210954512E+01   7.2300332407217791E+00   8.8885307338955510E-01
         1         13   4.0451081195067813E+00   1.3507109124897758E+01   8.4176510855719098E+00   1.2364251407803186E+00
         1         14   2.2156003021627009E+00   7.4010056622509639E+00   5.4843309175124295E+00   6.6934784884559617E-01
         1         15   3.2477620434187000E+00   1.2013239444401774E+01   7.0465324646559866E+00   1.1920336501633162E+00
         1         16   1.4962380858452049E+00   5.1176991728412373E+00   3.7578403381152459E+00   4.8640458705359296E-01
         1         17   1.4602639033148519E+00   9.5904799092941424E+00   4.9053738705192043E+00   1.1476718259535363E+00
         1         18   6.7704320494064452E-01   3.0759670499876890E+00   2.0439030588645806E+00   3.3619951446340363E-01
         1         19   1.6688123202105311E-02   2.3543797856033866E+00   5.4411407884637131E-01   2.6662678560540420E-01
         1         20   8.3401126571826867E-01   6.3814083244348287E+00   2.8442386483815785E+00   7.3373729886392369E-01
         1         21   5.1035814830766284E-03   2.0070037332672919E+00   3.9492910301204526E-01   2.1594358477495132E-01
         1         22   7.2690481762630799E-01   5.3348620448271431E+00   2.4518305150027038E+00   6.1848248685411344E-01
