################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
        24   2.21707710E+00   2.98402237E-02
        25   1.94112198E+00   8.30872794E-04
        34   2.03634180E+00   3.99207896E-03
        42   2.19359068E+00   1.99528219E-03
        45   1.39146384E+00  -1.75050206E-02
        65   5.99846507E-01  -7.12163235E-02
        78   1.42154555E+00  -6.91153720E-02
        79   9.43172784E-01  -9.91409190E-02
        84   2.94481959E-01   9.31289407E-04
        86   5.38947352E-01  -4.98906041E-02
        92   6.41681237E-01  -3.36290726E-02
       100   2.73496342E-01  -4.43046876E-02
       110  -1.30737989E-02   3.18261368E-03
       112   1.25950654E+00   6.94621099E-03
       116   1.04762455E+00  -3.25242568E-02
       142   3.36468149E-01   3.40837683E-02
       145   8.72885200E-01   3.30378998E-02
       156   5.35761200E-01  -4.38432473E-02
       160   2.29857303E-01   8.72038805E-03
       179   1.83096002E-01   2.56877276E-02
       184   8.16352810E-02   2.87714989E-02
       197   1.36090166E-01   3.14943698E-02
       257  -1.20473416E-01   8.80541704E-03
       297  -1.50365379E-01  -1.79225039E-02
       302   4.95553480E-01  -1.31794251E-02
       313   2.92202955E-01   4.37756499E-02
       315   7.42383007E-01   6.67910420E-03
       333  -2.16960470E-01   2.12188172E-02
       365   5.44596715E-02   6.24137389E-03
       387  -5.55513291E-01  -5.30004111E-03
       410  -1.19446790E+00   1.22659679E-01
       420  -1.43115529E+00   1.31494541E-01
       434  -1.57262997E+00   1.24089492E-01
       448  -2.27033567E+00   1.15516673E-01
       458  -7.76098811E-01   1.45733282E-01
       464  -6.40201674E-01   1.44914418E-01
       469  -1.34132466E+00   1.28497455E-01
       483  -1.62837725E+00   1.23911229E-01
       484  -9.85136850E-01   1.22141091E-01
