################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
         0  -3.10860875E+00  -4.88863380E-02
         1  -1.02605031E+00  -4.10871027E-02
         2  -2.70975244E-01  -5.00500235E-02
         3  -1.50400747E-01  -3.45089201E-02
         4  -4.89198257E-01  -5.40623073E-02
         5   1.08207678E-01  -2.79200413E-02
         6   7.01272981E-01   7.31992609E-03
         7   1.51223956E+00   1.25844262E-02
         8   1.47810417E+00   6.61896014E-03
         9   9.22801133E-01  -2.27485479E-02
        10   9.36084802E-01   1.60473446E-02
        11   1.88486827E+00   1.07874283E-02
        12   1.82757843E+00   2.53151220E-02
        13   1.77323305E+00   4.09855595E-02
        14   1.73380716E+00   4.06743881E-02
        15   1.50101759E+00   3.18784413E-02
        16   2.58789980E+00   6.36082035E-02
        17   2.59225400E+00   6.35756399E-02
        18   2.22664274E+00   5.21784677E-02
        19   2.59118356E+00   3.70916866E-02
        20   2.32020201E+00   3.69317975E-02
        21   2.11597079E+00   6.25947717E-02
        22   2.32883161E+00   7.65567559E-02
        23   1.61913213E+00   2.72138485E-02
        26   1.40946556E+00   1.21288354E-02
        27   2.44652369E+00   6.33025743E-03
        28   2.08014534E+00   6.45337183E-02
        29   1.79473172E+00   3.27572273E-03
        30   1.99394871E+00   3.10861824E-02
        31   1.50239377E+00   3.56016330E-02
        32   2.22260812E+00  -7.65965964E-03
        33   2.18378184E+00   1.32735203E-02
        35   1.96767667E+00   3.22296342E-02
        36   1.33833036E+00  -1.45403651E-02
        37   1.78612618E+00   1.88667595E-02
        38   2.16552402E+00   1.13733505E-02
        39   1.79111661E+00   6.27138410E-03
        40   2.33471891E+00  -6.81020088E-03
        41   1.61552870E+00  -4.85122729E-03
        43   2.10501540E+00   5.64695791E-02
        44   1.56660359E+00   1.21146537E-02
        46   1.27832348E+00  -5.13673645E-02
        47   7.79473337E-01  -4.87447448E-02
        48   1.31063152E+00  -7.27241899E-03
        49   1.32671032E+00   4.62646795E-02
        50   1.13205517E+00   4.66708977E-03
        51   1.08500052E+00  -4.76950940E-02
        52   1.42671831E+00   1.98473986E-02
        53   9.96531573E-01   1.98710644E-02
        54   1.70549498E+00   6.06876640E-03
        55   1.41285147E+00   4.77714152E-03
        56   1.45396026E+00   1.04403216E-02
        57   1.42898032E+00  -2.00925230E-02
        58   8.40531490E-01  -3.29854954E-02
        59   1.13533429E+00  -3.32548231E-02
        60   1.19065235E+00   2.17356259E-02
        61   1.67876173E+00  -1.76795210E-02
        62   1.30608577E+00   3.03355959E-02
        63   1.77523125E+00  -4.18082758E-02
        64   1.12003476E+00  -3.35952651E-02
        66   5.46714738E-01  -2.80832012E-02
        67   4.55540443E-01  -1.68449158E-02
        68   1.01260370E+00  -1.14614731E-02
        69   4.29002483E-01  -5.94825594E-02
        70   2.86015028E-01  -6.55883247E-02
        71   5.64737429E-01  -2.69230164E-02
        72   5.87709356E-01  -5.85229027E-02
        73   5.43303725E-01  -2.73213627E-02
        74   1.53234624E-01  -1.26247293E-01
        75   7.84738885E-01  -6.26454185E-02
        76   7.95505205E-01  -9.44957716E-02
        77   9.25314201E-01  -4.64083622E-02
        80   1.00058086E+00  -6.86949213E-02
        81   8.00856866E-01   8.35222015E-03
        82   4.04719189E-01   6.09691178E-03
        83   4.99462872E-01  -1.27048964E-02
        85   7.28629865E-01  -1.69678678E-02
        87   2.74402932E-01  -2.53701635E-02
        88   5.66088996E-01  -4.14857242E-02
        89   1.02841427E+00  -1.93949343E-02
        90   7.94636529E-01   5.29110630E-03
        91   6.43582259E-01  -4.36886538E-02
        93   1.02208998E+00  -4.03473893E-02
        94   1.02169230E+00  -6.48280975E-02
        95   5.58996692E-01  -9.91651816E-03
        96   5.87273278E-01   8.45326540E-03
        97   7.40258411E-01  -1.92644282E-02
        98   4.57354861E-01  -3.50025173E-02
        99   9.76525315E-02  -4.60784760E-02
       101  -3.54320352E-02  -1.79170065E-02
       102   5.81445482E-01  -7.07404888E-02
       103   4.87492100E-01  -7.22705716E-03
