################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.0696407488803878E-01 a         1     0     1     1     1
 -1.9093697936261311E-01 a         2     0     1     1     2
  1.3371295238691389E-01 a         3     0     1     1     3
  2.0418160406069308E-01 a         4     0     1     1     4
 -1.5800223031632191E-01 a         5     0     1     1     5
  3.0261370259607192E-03 a         6     0     1     1     6
  1.7776517398191882E-01 a         7     0     1     1     7
  5.1499614365885994E-02 a         8     0     1     1     8
  1.1217513330753413E-01 a         9     0     1     1     9
  1.3677804756870263E-02 a        10     0     1     1    10
 -1.1998808632240909E-01 a        11     0     1     1    11
 -1.0384243005575980E-01 a        12     0     1     1    12
 -1.2356478780001756E-01 a        13     0     1     1    13
  2.1347023877108839E-01 a        14     0     1     1    14
  8.6138669459149317E-02 a        15     0     1     1    15
 -1.6504707910225405E-01 a        16     0     1     1    16
  8.1746571741786137E-02 a        17     0     1     1    17
  1.5391534909718005E-03 a        18     0     1     1    18
  2.0364688951192514E-01 a        19     0     1     1    19
  1.6788894553288106E-01 a        20     0     1     1    20
 -1.2209464987806511E-01 a        21     0     1     1    21
 -1.6382305663800978E-01 a        22     0     1     1    22
 -1.9558207962212421E-01 a        23     0     1     1    23
  1.4523061039680524E-01 a        24     0     1     1    24
  3.9484038726175744E-02 a        25     0     1     1    25
 -1.1797794492188834E-01 a        26     0     1     1    26
 -3.7276602108929892E-02 a        27     0     1     1    27
  7.8203310332977116E-02 a        28     0     1     1    28
  1.0458430214424626E-01 a        29     0     1     1    29
  1.7809780158518426E-01 a        30     0     1     1    30
  2.7674384818236052E-02 a        31     0     1     1    31
 -1.5839580946120502E-01 a        32     0     1     1    32
  5.2496630136060679E-02 a        33     0     1     1    33
  1.2047361840242170E-01 a        34     0     1     1    34
 -2.4835336771785954E-02 a        35     0     1     1    35
  1.2139773589288606E-01 a        36     0     1     1    36
 -1.7071639337168115E-01 a        37     0     1     1    37
