################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.4680486666267756E+00 a         1     0     1     1     1
 -5.4340705771993880E+00 a         2     0     1     1     2
 -2.0842647342667626E+00 a         3     0     1     1     3
  2.9389283598812828E+00 a         4     0     1     1     4
 -4.0222247675063372E+00 a         5     0     1     1     5
 -3.2910421711839366E-01 a         6     0     1     1     6
 -6.7635550516538121E+00 a         7     0     1     1     7
 -6.6683829732119673E+00 a         8     0     1     1     8
 -1.5617983784173814E+01 a         9     0     1     1     9
  2.8480290744504191E+00 a        10     0     1     1    10
 -4.1297850820271389E+00 a        11     0     1     1    11
  1.2582204456649903E+01 a        12     0     1     1    12
 -1.3825603706748726E+01 a        13     0     1     1    13
  7.4857265207272290E+00 a        14     0     1     1    14
 -4.1122187052765176E+00 a        15     0     1     1    15
 -8.9980454303930046E-01 a        16     0     1     1    16
  9.8581507478925197E+00 a        17     0     1     1    17
 -3.1048857503007450E+00 a        18     0     1     1    18
  3.4077183891644967E+00 a        19     0     1     1    19
  2.4356632670160295E+01 a        20     0     1     1    20
  3.4037972789143947E+00 a        21     0     1     1    21
 -3.0906764473586517E+00 a        22     0     1     1    22
  8.5350679826117268E+00 a        23     0     1     1    23
  1.6397849583004902E+01 a        24     0     1     1    24
 -6.5597716672237005E-01 a        25     0     1     1    25
  1.7530117231111984E+00 a        26     0     1     1    26
 -7.4775088303064825E+00 a        27     0     1     1    27
  1.3982937772021192E+01 a        28     0     1     1    28
 -9.4215499037482111E+00 a        29     0     1     1    29
  1.3732614183690773E+01 a        30     0     1     1    30
  9.3287771116390883E-01 a        31     0     1     1    31
  1.1673697986423601E+00 a        32     0     1     1    32
 -1.5274224129140981E+00 a        33     0     1     1    33
  1.1437927041113085E+00 a        34     0     1     1    34
 -6.3753538611214122E-01 a        35     0     1     1    35
  2.3851234282566205E+00 a        36     0     1     1    36
 -4.5456216944084762E+00 a        37     0     1     1    37
  1.5620460183461511E+00 a        38     0     1     1    38
 -1.3694732861906966E+00 a        39     0     1     1    39
 -6.0644447905799401E+00 a        40     0     1     1    40
 -6.8069868475374964E+00 a        41     0     1     1    41
  8.3039207316785841E+00 a        42     0     1     1    42
  1.0126567467863735E+01 a        43     0     1     1    43
 -1.5799441708627752E+01 a        44     0     1     1    44
  2.2438466202779949E+01 a        45     0     1     1    45
 -6.0011371589309692E-01 a        46     0     1     1    46
  7.9406376370534171E-01 a        47     0     1     1    47
  6.7287265956280509E+00 a        48     0     1     1    48
  4.2538164661536717E+00 a        49     0     1     1    49
  1.1795769808183325E+01 a        50     0     1     1    50
  4.5531767771802212E+00 a        51     0     2     1     1
 -4.4286815601701832E+00 a        52     0     2     1     2
 -3.0012195854017905E+00 a        53     0     2     1     3
  2.4920898426934404E+00 a        54     0     2     1     4
 -4.3677979621004841E+00 a        55     0     2     1     5
 -1.7830065107485316E-01 a        56     0     2     1     6
 -5.9043354865818616E+00 a        57     0     2     1     7
 -6.6607782751102738E+00 a        58     0     2     1     8
 -1.3359861534470715E+01 a        59     0     2     1     9
  2.3317031309028393E+00 a        60     0     2     1    10
 -3.6072869756376074E+00 a        61     0     2     1    11
  1.1472189622063690E+01 a        62     0     2     1    12
 -1.2868216931217646E+01 a        63     0     2     1    13
  8.1298645015172646E+00 a        64     0     2     1    14
 -4.5889007897700376E+00 a        65     0     2     1    15
 -9.3974065390788253E-01 a        66     0     2     1    16
  9.5168367337015365E+00 a        67     0     2     1    17
 -1.7224294644695137E+00 a        68     0     2     1    18
  3.8654948735420436E+00 a        69     0     2     1    19
  2.2011514672974872E+01 a        70     0     2     1    20
  2.7566238555293183E+00 a        71     0     2     1    21
 -3.9105720060017588E+00 a        72     0     2     1    22
  8.4283549954515777E+00 a        73     0     2     1    23
  1.4127419706455564E+01 a        74     0     2     1    24
 -1.1144568613485597E+00 a        75     0     2     1    25
  1.9189275076033270E+00 a        76     0     2     1    26
 -7.1557229837306098E+00 a        77     0     2     1    27
  1.4162916615542489E+01 a        78     0     2     1    28
 -7.2749293120709142E+00 a        79     0     2     1    29
  1.2140643869202698E+01 a        80     0     2     1    30
  1.2325773000135751E+00 a        81     0     2     1    31
  1.6319701006732699E+00 a        82     0     2     1    32
 -1.2810424490554451E+00 a        83     0     2     1    33
  1.3001848153083628E+00 a        84     0     2     1    34
 -5.9211883858207992E-01 a        85     0     2     1    35
  1.7663130551828439E+00 a        86     0     2     1    36
 -3.6933848930969400E+00 a        87     0     2     1    37
  1.9339836726484496E+00 a        88     0     2     1    38
 -1.3219316423338263E+00 a        89     0     2     1    39
 -4.1577665617187600E+00 a        90     0     2     1    40
 -6.5349748212707155E+00 a        91     0     2     1    41
  7.0703952665847840E+00 a        92     0     2     1    42
  8.0643178615173028E+00 a        93     0     2     1    43
