################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   1.9048451649873556E+01   1.0233727109079375E+01   1.5366069642734443E+00
         1          2   0.0000000000000000E+00   1.9125489159225836E+01   1.0287186617488572E+01   1.5452544476860646E+00
         1          3   0.0000000000000000E+00   1.8166535833208254E+01   9.6709456118178583E+00   1.4524172818390304E+00
         1          4   0.0000000000000000E+00   1.8905463646742497E+01   1.0181277116786031E+01   1.5348893100103334E+00
         1          5   0.0000000000000000E+00   1.6588692774402645E+01   8.5700338945278318E+00   1.2899948231611587E+00
         1          6   0.0000000000000000E+00   1.8439568902837024E+01   9.9556767237755182E+00   1.5134985326209629E+00
         1          7   0.0000000000000000E+00   1.4667800303588796E+01   7.2344266820108087E+00   1.0978526356008778E+00
         1          8   0.0000000000000000E+00   1.7784024546596285E+01   9.6407809153040223E+00   1.4850764868014139E+00
         1          9   0.0000000000000000E+00   1.2611082930217746E+01   5.8900553226896424E+00   9.1163181880422972E-01
         1         10   0.0000000000000000E+00   1.6983363337840633E+01   9.2603355818581505E+00   1.4526370020596968E+00
         1         11   0.0000000000000000E+00   1.7526717549724872E+01   9.0000848427957383E+00   1.4093909519277412E+00
         1         12   0.0000000000000000E+00   1.2693192905694403E+01   7.0058525513014587E+00   1.1505344312584918E+00
         1         13   0.0000000000000000E+00   1.6422686358687930E+01   8.0292057315963987E+00   1.3207012250836483E+00
         1         14   0.0000000000000000E+00   9.7112987762785572E+00   5.3554328500523489E+00   9.3595511129529585E-01
         1         15   0.0000000000000000E+00   1.4825418598337466E+01   6.6633953351725879E+00   1.2194543213918754E+00
         1         16   0.0000000000000000E+00   7.1742574143741944E+00   3.7317389052399452E+00   6.9529191014915293E-01
         1         17   0.0000000000000000E+00   1.2059108245851698E+01   4.5518686563751753E+00   1.1111508789659803E+00
         1         18   0.0000000000000000E+00   4.3057886156360174E+00   2.0868805434233897E+00   4.3217446467614407E-01
         1         19   0.0000000000000000E+00   3.8963891248179312E+00   5.4251585249464318E-01   3.0085549660867406E-01
         1         20   0.0000000000000000E+00   1.1956249113428647E+01   2.6413378225106126E+00   9.5836856634005818E-01
         1         21   0.0000000000000000E+00   2.9834704213454937E+00   4.0507039591759481E-01   2.5061119795224635E-01
         1         22   0.0000000000000000E+00   9.7346666162063791E+00   2.2964888951721263E+00   8.4598904903699990E-01
         1         23   0.0000000000000000E+00   3.5334850102994677E+00   4.7165312835691320E-01   2.6995383290693642E-01
         1         24   0.0000000000000000E+00   1.0763799385773392E+01   2.3013480219485811E+00   8.4591416839560840E-01
         1         25   0.0000000000000000E+00   2.7122564783970082E+00   3.5337518005998420E-01   2.2578063098393325E-01
         1         26   0.0000000000000000E+00   8.7576524104085660E+00   2.0040285755650262E+00   7.4675989814593124E-01
         1         27   0.0000000000000000E+00   9.0144578869260616E+00   1.1638243316467634E+00   4.9696745061247588E-01
         1         28   0.0000000000000000E+00   1.6496597006343688E+01   2.8954958131936692E+00   1.0408659740533817E+00
         1         29   0.0000000000000000E+00   4.7657304607363837E+00   6.0679116276319600E-01   3.1393345217972490E-01
         1         30   0.0000000000000000E+00   1.2247869580154029E+01   2.3384626443101011E+00   8.5855196994953109E-01
         1         31   0.0000000000000000E+00   8.1123934629614141E+00   9.9429284204457502E-01   4.3794934693478932E-01
         1         32   0.0000000000000000E+00   1.4767369317337675E+01   2.4947710797659184E+00   9.1442321930103265E-01
         1         33   0.0000000000000000E+00   4.3048982950504158E+00   5.1976341104341250E-01   2.7810781736092055E-01
         1         34   0.0000000000000000E+00   1.0959874149426691E+01   2.0202416487647556E+00   7.5420502703731296E-01
         1         35   0.0000000000000000E+00   7.3187969148195666E+00   8.5227608693353807E-01   3.8717940010140672E-01
         1         36   0.0000000000000000E+00   1.3251218986936607E+01   2.1588424831258677E+00   8.0681392963954168E-01
         1         37   0.0000000000000000E+00   2.6127744820025924E+00   3.0031560401596291E-01   1.9053340676537861E-01
         1         38   0.0000000000000000E+00   7.6958534105997058E+00   1.4932549290177086E+00   5.7336031290482636E-01
