################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   3.5096396166533253E+01   1.1967418933618173E+01   3.3028305945061027E+00
         1          2   0.0000000000000000E+00   3.5238738989741712E+01   1.2030314747222745E+01   3.3207466231845304E+00
         1          3   0.0000000000000000E+00   3.3433281419302020E+01   1.1313066304141570E+01   3.1248623685118071E+00
         1          4   0.0000000000000000E+00   3.4791748556774976E+01   1.1914125032491967E+01   3.2965042620831357E+00
         1          5   0.0000000000000000E+00   3.0151573835193290E+01   1.0029901300904942E+01   2.7744484313955509E+00
         1          6   0.0000000000000000E+00   3.3889155496530641E+01   1.1665745143537352E+01   3.2441697689659907E+00
         1          7   0.0000000000000000E+00   2.6106857057937759E+01   8.4663152755841864E+00   2.3442673137909140E+00
         1          8   0.0000000000000000E+00   3.2908700014841848E+01   1.1316923370981293E+01   3.1693538955544285E+00
         1          9   0.0000000000000000E+00   2.1938203394576071E+01   6.8823585050882361E+00   1.9038832532346219E+00
         1         10   0.0000000000000000E+00   3.1689881570240249E+01   1.0891875641176187E+01   3.0757702024282367E+00
         1         11   0.0000000000000000E+00   3.1650307592759468E+01   1.0624989004780820E+01   3.0291702467768009E+00
         1         12   0.0000000000000000E+00   2.3262669463081721E+01   8.2119304073710442E+00   2.3167730175046790E+00
         1         13   0.0000000000000000E+00   2.9243319827277194E+01   9.5712363212885023E+00   2.8238728937657558E+00
         1         14   0.0000000000000000E+00   1.7143367577989455E+01   6.2212253908457393E+00   1.7365735540940621E+00
         1         15   0.0000000000000000E+00   2.5872714236384802E+01   8.0942142451589767E+00   2.5567429942801936E+00
         1         16   0.0000000000000000E+00   1.1690393096980698E+01   4.2439512681452811E+00   1.1489221107413494E+00
         1         17   0.0000000000000000E+00   2.0459629473223107E+01   5.7922048537544404E+00   2.1733070500504001E+00
         1         18   0.0000000000000000E+00   6.7431520750423930E+00   2.3240018495096835E+00   6.3963913148425666E-01
         1         19   0.0000000000000000E+00   1.0605599406802403E+01   7.5866969812485696E-01   5.4688242841557333E-01
         1         20   0.0000000000000000E+00   3.7097247851661471E+01   3.9052235803323536E+00   2.2238786565365207E+00
         1         21   0.0000000000000000E+00   7.7635233279529849E+00   5.5259828553379808E-01   4.1167424449506240E-01
         1         22   0.0000000000000000E+00   3.1061108284877314E+01   3.3516966900215985E+00   1.8715985091665412E+00
         1         23   0.0000000000000000E+00   9.5286752121367684E+00   6.6041422883376744E-01   4.8525460870018344E-01
         1         24   0.0000000000000000E+00   3.2874623358022490E+01   3.4027104785763522E+00   1.9363609953221950E+00
         1         25   0.0000000000000000E+00   6.9719178625119103E+00   4.8241322086974209E-01   3.6713241579469447E-01
         1         26   0.0000000000000000E+00   2.7315463344623879E+01   2.9234215479778278E+00   1.6299992961408252E+00
         1         27   0.0000000000000000E+00   2.5141867397054053E+01   1.7710751181777891E+00   1.2168671431798652E+00
         1         28   0.0000000000000000E+00   4.7991199777554776E+01   4.3933097828614454E+00   2.6281440825553797E+00
         1         29   0.0000000000000000E+00   1.3137211127099972E+01   8.8269579662034703E-01   6.3853164139659102E-01
         1         30   0.0000000000000000E+00   3.6151202023618382E+01   3.5049304613040015E+00   2.0405454359669699E+00
         1         31   0.0000000000000000E+00   2.2481892696095635E+01   1.5185840483612196E+00   1.0573018613138119E+00
         1         32   0.0000000000000000E+00   4.2466232627576481E+01   3.7877512854014941E+00   2.2689171891018911E+00
         1         33   0.0000000000000000E+00   1.1753535058076087E+01   7.5822769450202343E-01   5.5899949045875885E-01
         1         34   0.0000000000000000E+00   3.1907026104036003E+01   3.0273949315422986E+00   1.7619016597251613E+00
         1         35   0.0000000000000000E+00   2.0173019663164979E+01   1.3062380670074814E+00   9.2159283053099206E-01
         1         36   0.0000000000000000E+00   3.7710618345132346E+01   3.2781762135767822E+00   1.9654358512113601E+00
         1         37   0.0000000000000000E+00   6.8010966033427085E+00   4.2294009043766306E-01   3.3207308612115155E-01
         1         38   0.0000000000000000E+00   2.2442742786779050E+01   2.2022293094042968E+00   1.2475626699155482E+00
         1         39   0.0000000000000000E+00   1.4847038468763788E+01   8.4616827331984457E-01   6.2106434789682241E-01
         1         40   0.0000000000000000E+00   2.6924459518278518E+01   2.1711658338722355E+00   1.3017987119776704E+00
         1         41   0.0000000000000000E+00   7.7652086324559528E+00   4.2408243479030355E-01   3.3806163173207604E-01
         1         42   0.0000000000000000E+00   2.0073633583166174E+01   1.7490799953426948E+00   1.0122682579757176E+00
         2          1   0.0000000000000000E+00   3.3589195496789955E+01   1.1805958345801601E+01   2.9945293255839665E+00
         2          2   0.0000000000000000E+00   3.3742656992334787E+01   1.1865115719176178E+01   3.0128824909456711E+00
         2          3   0.0000000000000000E+00   3.1916823527527455E+01   1.1172030284834859E+01   2.8192101091122126E+00
         2          4   0.0000000000000000E+00   3.3383987411210320E+01   1.1735815240261358E+01   2.9948369250931566E+00
         2          5   0.0000000000000000E+00   2.8616269791375530E+01   9.9337070914421037E+00   2.4768098980806554E+00
         2          6   0.0000000000000000E+00   3.2613295777263396E+01   1.1459004063359982E+01   2.9561773049583904E+00
         2          7   0.0000000000000000E+00   2.4545625043442062E+01   8.4339990965801945E+00   2.0629256384770325E+00
         2          8   0.0000000000000000E+00   3.1521849925581119E+01   1.1069480130833735E+01   2.9015313159705949E+00
         2          9   0.0000000000000000E+00   2.0344343864833011E+01   6.9254677662193727E+00   1.6496466780901184E+00
         2         10   0.0000000000000000E+00   3.0177719133794341E+01   1.0594056796562969E+01   2.8339992294561869E+00
         2         11   0.0000000000000000E+00   3.0429079658050153E+01   1.0402826964168909E+01   2.7072791957520903E+00
         2         12   0.0000000000000000E+00   2.2215355761995934E+01   7.9147466474400110E+00   2.2210217125963272E+00
         2         13   0.0000000000000000E+00   2.7929709222906581E+01   9.3013924816384677E+00   2.4952590793564475E+00
         2         14   0.0000000000000000E+00   1.6961884745010046E+01   5.9826658011732308E+00   1.7469547630624040E+00
         2         15   0.0000000000000000E+00   2.4354539328067794E+01   7.7437888203309289E+00   2.2265318889549532E+00
         2         16   0.0000000000000000E+00   1.1601694584568740E+01   4.2042068701261117E+00   1.2377364222685177E+00
         2         17   0.0000000000000000E+00   1.8789080162671244E+01   5.2169115421696972E+00   1.8601779574121140E+00
         2         18   0.0000000000000000E+00   6.5879008239746772E+00   2.4501764899311138E+00   7.3172747658319148E-01
         2         19   0.0000000000000000E+00   7.8827107229477518E+00   1.0598191403943196E+00   4.8088079808935513E-01
         2         20   0.0000000000000000E+00   3.3264344083937054E+01   3.3372111356713150E+00   2.0920027492746205E+00
         2         21   0.0000000000000000E+00   5.6304706833866973E+00   8.1388512263828183E-01   3.8107477439087983E-01
         2         22   0.0000000000000000E+00   2.7823477752483974E+01   2.8519054473430896E+00   1.7811662434675415E+00
         2         23   0.0000000000000000E+00   6.9996483674365191E+00   9.4911931596376564E-01   4.3574575886882211E-01
         2         24   0.0000000000000000E+00   2.9270010933797558E+01   2.8787830251710731E+00   1.8176970443109870E+00
         2         25   0.0000000000000000E+00   4.9953044885754094E+00   7.3240929465436067E-01   3.4992966075605919E-01
         2         26   0.0000000000000000E+00   2.4458171414298171E+01   2.4616959174345689E+00   1.5489920507690425E+00
         2         27   0.0000000000000000E+00   1.9398618419465841E+01   2.0710298853904456E+00   1.0938593895929081E+00
         2         28   0.0000000000000000E+00   4.1280046472753504E+01   3.8453378065373220E+00   2.4385368461810448E+00
         2         29   0.0000000000000000E+00   9.7621253451528869E+00   1.1968767311786321E+00   5.7699926309437510E-01
