################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.1855823032995563E+01 a         1     0     1     1     1
 -7.5270801081381165E+01 a         2     0     1     1     2
  1.5412401905671189E+02 a         3     0     1     1     3
 -4.9121670607641988E+01 a         4     0     1     1     4
 -9.3242683227362079E+01 a         5     0     1     1     5
  6.6369892495081100E+00 a         6     0     1     1     6
 -9.2802892526089682E+00 a         7     0     1     1     7
 -7.0897917868682001E+01 a         8     0     1     1     8
 -2.2983991240641661E+01 a         9     0     1     1     9
 -5.5718229648263502E+02 a        10     0     1     1    10
 -4.5074821787573178E+01 a        11     0     1     1    11
 -2.5002188020454675E+01 a        12     0     1     1    12
 -3.1645409281770519E+01 a        13     0     1     1    13
 -5.2203789573437845E+01 a        14     0     1     1    14
 -2.1120564395388520E+01 a        15     0     1     1    15
  1.2018955585768312E+00 a        16     0     1     1    16
  5.8190619433751067E+02 a        17     0     1     1    17
  9.5292141499990350E+00 a        18     0     1     1    18
  5.4668214467028946E+01 a        19     0     1     1    19
  2.1485796865987957E+01 a        20     0     1     1    20
 -6.8173167855993782E+01 a        21     0     1     1    21
 -5.4486588030121492E+00 a        22     0     1     1    22
  3.6353799321531724E+01 a        23     0     1     1    23
 -5.2268955672992185E+01 a        24     0     1     1    24
  4.6539876322740633E+02 a        25     0     1     1    25
  8.7805986044810183E+01 a        26     0     1     1    26
  5.3033906226193821E+01 a        27     0     1     1    27
  1.6829215407339483E+01 a        28     0     1     1    28
 -3.0867898789143677E+01 a        29     0     1     1    29
  2.4311543018374270E+01 a        30     0     1     1    30
 -7.4785296746427946E+01 a        31     0     1     1    31
 -3.1568882350122408E+01 a        32     0     1     1    32
 -2.4995830233490846E+01 a        33     0     1     1    33
  3.9937324938422586E+02 a        34     0     1     1    34
  3.6208610104472967E+01 a        35     0     1     1    35
  1.2974614719349123E+01 a        36     0     1     1    36
  3.3928990511642183E+01 a        37     0     1     1    37
  4.2386954652211261E+02 a        38     0     1     1    38
 -3.6790089896172136E+00 a        39     0     1     1    39
 -1.3602661712470420E+01 a        40     0     1     1    40
  1.2348253702208667E+02 a        41     0     1     1    41
  1.4095821591171233E+02 a        42     0     1     1    42
 -3.2074109413857990E+01 a        43     0     1     1    43
 -9.1938299280803157E+00 a        44     0     1     1    44
 -6.3379018434093084E+01 a        45     0     1     1    45
  6.7308852934385826E+01 a        46     0     1     1    46
 -2.3262518270103985E+01 a        47     0     1     1    47
 -9.3590719894939873E+00 a        48     0     1     1    48
  1.1042028830254426E+02 a        49     0     1     1    49
